,State,Median Listing Price,UR,GDP,POP,INC,Coefficient,Recommendation
0,AK,337000.0,-0.028872644441898066,0.029700311750043902,-0.0033384386217821306,0.13131422978630852,-0.12559807990751687,Negative
1,AL,272400.0,-0.08321678129016843,0.03120131312407794,0.002760544657666532,0.1180372352453456,0.5074969774114414,Strong positive
2,AR,220782.5,-0.04990798443347424,0.02994040756010135,0.0031518976985167855,0.09121932515337423,0.0954778115657075,Positive
3,AZ,445000.0,-0.022624433754541998,0.02916444431934516,0.017611086206477715,0.12622125950495272,0.21295206178655823,Positive
4,CA,769000.0,-0.050768440671325375,0.027943325030265555,-0.0017646251737858387,0.10250750366771202,0.029631039392000805,Positive
5,CO,584790.0,-0.015436417264229459,0.029199170430260345,0.008513319296164725,-0.00735228436162245,-0.44143044236797657,Strong negative
6,CT,494450.0,-0.01714139123774119,0.031481343204044776,-0.0025314708113443126,0.18087106425238753,-0.06919559507208789,Negative
7,DE,387450.0,-0.027182494577445423,0.027463654637856546,0.010329625402957973,0.13191960116661638,0.12149453052274556,Positive
8,FL,382450.0,-0.08530083442227379,0.0289283356428054,0.0111626979744786,0.06590450571620712,0.5286174990749583,Strong positive
9,GA,360000.0,-0.06098709098010349,0.030113667366652858,0.007685531466423019,0.01435317343862551,0.06720939627863609,Positive
10,HI,695000.0,-0.06694276822864524,0.02508052053881403,-0.006100010240924672,0.09396005091782957,0.06471023291551778,Positive
11,IA,219756.0,-0.0405235761131724,0.03216361150636531,0.0012541481252334973,-0.03953343424450183,-0.41746352156528505,Strong negative
12,ID,549999.5,-0.07721046254605467,0.03525458386184601,0.020936496904400817,0.11642451650149138,0.8263810323622671,Strong positive
13,IL,269997.5,-0.053137948986446706,0.029471909877849155,-0.006294813248356886,0.058860969670135044,-0.16057431670301975,Negative
14,IN,239445.0,-0.08574381446739282,0.03558424593066253,0.003550856482282721,0.10745348974997038,0.5387369732228063,Strong positive
15,KS,219950.0,-0.06861373437671983,0.030454918240527925,0.0004015906408597191,0.1344090335475494,0.3596708484296805,Positive
16,KY,249900.0,-0.020590519732875137,0.03361803342796261,0.0010963091253467499,0.02008764528158088,-0.43381551717975797,Strong negative
17,LA,275000.0,-0.01958042155962186,0.027072582619655196,-0.0027875833561634487,0.03410700236034618,-0.5122635313477358,Strong negative
18,MA,659500.0,-0.05348355038840642,0.030256322518239377,-0.00018981003415164123,0.01565049525429182,-0.16072759844489629,Negative
19,MD,377000.0,-0.03221021681482202,0.02656275901913628,0.00013998403730413323,0.10285211364448968,-0.12372801507654672,Negative
20,ME,338750.0,-0.03489293633984696,0.029356977461167087,0.0032426674800125916,0.12591746599685327,0.048319998295116684,Positive
21,MI,260000.0,-0.06339312792764606,0.033420590386420417,-0.001828471229478034,0.05892364010018624,0.051235726919560756,Positive
22,MN,324700.0,-0.06263302161310423,0.03228766983169092,0.003060630337539802,0.1254086646698381,0.33520716604980727,Positive
23,MS,232500.0,-0.028240992344470993,0.034370406776312284,-0.0038489950133819167,0.04581582313173762,-0.37527047354615417,Negative
24,MO,249450.0,-0.04670042413843203,0.03238693693763511,0.0018016161395315432,-0.018459324902103447,-0.2804067258431837,Negative
25,MT,482000.0,-0.05858775348654364,0.028230699081030767,0.009721466074139191,0.04268965166194411,0.15952930673920634,Positive
26,NC,359500.0,-0.052797206909784365,0.03143008345397043,0.009424554784979725,0.13603660240290583,0.39172338927600775,Positive
27,ND,268450.0,-0.03570896907148079,0.025543358217611174,0.0020732345412738055,0.05164938184801078,-0.20878068182762785,Negative
28,NE,266000.0,-0.04778554669088036,0.031235642064786483,0.0025740561583807845,0.07815366238641697,0.029975787559602556,Positive
29,NH,419450.0,-0.11415612044640833,0.03442925964275901,0.004027831617283034,0.06602237200290051,0.7023312510322406,Strong positive
30,NJ,449000.0,-0.048590120977724,0.03146933743965873,-0.0009999892308852059,0.1673852083359069,0.23540373736555018,Positive
31,NM,299999.5,-0.028054298171777382,0.021181218420260835,0.0031788554912865323,0.09527003037595172,-0.15416372522733623,Negative
32,NV,417500.0,-0.08780568694724458,0.04172568449219874,0.015247329046345653,0.13620546810273404,0.9102482771685547,Strong positive
33,NY,577292.0,-0.05043806840194958,0.027614900554206716,-0.006513184229665504,0.06585255410446421,-0.18025083548938808,Negative
34,OH,219900.0,-0.06839033158030404,0.03202958612743888,-0.00028132347790971895,0.04798251726103756,0.09237232866515305,Positive
35,OK,229950.0,-0.0605798689056014,0.022570317213370234,0.005063788312276333,0.08719944479096205,0.19152437574127795,Positive
36,OR,524850.0,-0.047664335557630846,0.02920050320183547,0.006004198782394673,0.07310312164816336,0.07203921217786934,Positive
37,PA,279950.0,-0.045947009098577705,0.029928612882544867,-0.0012218608962827609,0.08967773451956242,-0.03629085896846661,Negative
38,RI,405950.0,-0.0884663255611528,0.029663439605146565,-0.0009766627013068376,0.11909346987169321,0.4807276092262037,Strong positive
39,SC,313000.0,-0.03078230111133834,0.032461989014351836,0.011630568596373,0.07673764564081961,0.04295726503506138,Positive
40,SD,276950.0,-0.0644667854962442,0.03416673237856809,0.0062814109986213075,0.0774664963869445,0.2835292259885421,Positive
41,TN,347450.0,-0.07077968867683143,0.03905653236005775,0.00823913877826522,0.010063272604648274,0.20805214194785226,Positive
42,TX,339995.0,-0.02275261210094088,0.029126660239176382,0.012818526697576096,0.12039707928223911,0.10072119400352993,Positive
43,UT,597700.0,-0.07058566869920394,0.03472710775875627,0.014410030659156737,0.09228293830063741,0.5545416538708677,Strong positive
44,VA,379975.0,-0.05292872481177145,0.027669866032512452,0.003956548585667147,0.05252928109854604,0.014355393289257834,Positive
45,VT,357500.0,-0.08109801007382504,0.03360587307994414,-0.0011207945007184906,0.058723704899183354,0.24276469082115132,Positive
46,WA,578997.5,-0.07163568516072512,0.028664820140053487,0.010398456295332082,0.03364163275373042,0.27857497647535145,Positive
47,WI,279950.0,-0.06391076739921144,0.03144291152033497,0.0013851877480206517,0.0727166420482521,0.15217591269895847,Positive
48,WV,174950.0,-0.05133502586343211,0.028591151742604355,-0.00585240581553973,0.06008880023782353,-0.17047569824998116,Negative
49,WY,312500.0,-0.016381763437183658,0.02048279867635965,0.0038057315844533014,0.04065072489876481,-0.4257015658610047,Strong negative
